,sClass,sLong,sCat,sDetail
0,c021,ItalianGestures/Bellissima,ItalianGestures,Bellissima
1,c027,ItalianGestures/NonMiFrega,ItalianGestures,NonMiFrega
2,c026,ItalianGestures/Madonna,ItalianGestures,Madonna
3,c029,ItalianGestures/SeiPazzo,ItalianGestures,SeiPazzo
4,c030,ItalianGestures/VieniQua,ItalianGestures,VieniQua
5,c049,GestunoDisaster/102_thunderstorm_orage,GestunoDisaster,Thunderstorm
6,c052,GestunoDisaster/110_earthquake_trembleme,GestunoDisaster,Earthquake
7,c057,GestunoLandscape/63_moon_lune,GestunoLandscape,Moon
8,c065,GestunoLandscape/85_volcano_volcan,GestunoLandscape,Volcano
9,c068,GestunoLandscape/90_river_fleuve,GestunoLandscape,River
10,c070,GestunoSmallAnimals/125_bird_oiseau,GestunoSmallAnimals,Bird
11,c071,GestunoSmallAnimals/127_butterfly_papillon,GestunoSmallAnimals,Butterfly
12,c072,GestunoSmallAnimals/129_cat_chat,GestunoSmallAnimals,Cat
13,c074,GestunoSmallAnimals/132_dog_chien,GestunoSmallAnimals,Dog
14,c079,GestunoTopography/65_space_espace,GestunoTopography,Space
15,c086,GestunoTopography/92_harbour_port,GestunoTopography,Harbour
16,c177,HelicopterSignals/LiftOff,HelicopterSignals,LiftOff
17,c246,TractorOperationSignals/SpeedItUp,TractorOperationSignals,SpeedItUp
18,c247,TractorOperationSignals/StartTheEngine,TractorOperationSignals,StartTheEngine
19,c248,TractorOperationSignals/StopTheEngine,TractorOperationSignals,StopTheEngine
