,sClass,sLong,sCat,sDetail
0,c001,Mudra1/Ardhachandra,Mudra1,Ardhachandra
1,c002,Mudra1/Ardhapataka,Mudra1,Ardhapataka
2,c003,Mudra1/Chandrakala,Mudra1,Chandrakala
3,c004,Mudra1/Chatura,Mudra1,Chatura
4,c005,Mudra1/Kartarimukha,Mudra1,Kartarimukha
5,c006,Mudra1/Pataka,Mudra1,Pataka
6,c007,Mudra1/Sarpashirsha,Mudra1,Sarpashirsha
7,c008,Mudra1/Shikhara,Mudra1,Shikhara
8,c009,Mudra1/Tripataka,Mudra1,Tripataka
9,c010,Mudra1/Trishula,Mudra1,Trishula
10,c011,Mudra2/Anjali,Mudra2,Anjali
11,c012,Mudra2/Chakram,Mudra2,Chakram
12,c013,Mudra2/Hamsapaksha,Mudra2,Hamsapaksha
13,c014,Mudra2/Mayura,Mudra2,Mayura
14,c015,Mudra2/Mrigashirsha,Mudra2,Mrigashirsha
15,c016,Mudra2/Sandamsha,Mudra2,Sandamsha
16,c017,Mudra2/Swastikam,Mudra2,Swastikam
17,c018,Mudra2/Tamrachuda,Mudra2,Tamrachuda
18,c019,Mudra2/Vitarka,Mudra2,Vitarka
19,c020,ItalianGestures/AndateVia,ItalianGestures,AndateVia
20,c022,ItalianGestures/CheFurbo,ItalianGestures,CheFurbo
21,c021,ItalianGestures/Bellissima,ItalianGestures,Bellissima
22,c023,ItalianGestures/ChePalle,ItalianGestures,ChePalle
23,c024,ItalianGestures/CheVuoi,ItalianGestures,CheVuoi
24,c025,ItalianGestures/DAccordo,ItalianGestures,DAccordo
25,c026,ItalianGestures/Madonna,ItalianGestures,Madonna
26,c027,ItalianGestures/NonMiFrega,ItalianGestures,NonMiFrega
27,c028,ItalianGestures/Perfetto,ItalianGestures,Perfetto
28,c029,ItalianGestures/SeiPazzo,ItalianGestures,SeiPazzo
29,c030,ItalianGestures/VieniQua,ItalianGestures,VieniQua
30,c031,ChineseNumbers/ba,ChineseNumbers,ba
31,c032,ChineseNumbers/ling,ChineseNumbers,ling
32,c034,ChineseNumbers/qi,ChineseNumbers,qi
33,c035,ChineseNumbers/shi,ChineseNumbers,shi
34,c033,ChineseNumbers/liu,ChineseNumbers,liu
35,c036,ChineseNumbers/si,ChineseNumbers,si
36,c037,ChineseNumbers/wu,ChineseNumbers,wu
37,c038,ChineseNumbers/yi,ChineseNumbers,yi
38,c039,GestunoColors/654_colour_couleur,GestunoColors,654_colour_couleur
39,c040,GestunoColors/655_black_noir,GestunoColors,655_black_noir
40,c041,GestunoColors/656_white_blanc,GestunoColors,656_white_blanc
41,c042,GestunoColors/657_red_rouge,GestunoColors,657_red_rouge
42,c043,GestunoColors/658_yellow_jaune,GestunoColors,658_yellow_jaune
43,c044,GestunoColors/659_orange_orange,GestunoColors,659_orange_orange
44,c045,GestunoColors/660_bleu_blue,GestunoColors,660_bleu_blue
45,c046,GestunoColors/661_green_vert,GestunoColors,661_green_vert
46,c047,GestunoColors/662_purple_violet,GestunoColors,662_purple_violet
47,c048,GestunoColors/663_brown_brun,GestunoColors,663_brown_brun
48,c049,GestunoDisaster/102_thunderstorm_orage,GestunoDisaster,102_thunderstorm_orage
49,c050,GestunoDisaster/108_tide_maree,GestunoDisaster,108_tide_maree
50,c051,GestunoDisaster/109_dought_secheresse,GestunoDisaster,109_dought_secheresse
51,c052,GestunoDisaster/110_earthquake_trembleme,GestunoDisaster,110_earthquake_trembleme
52,c053,GestunoDisaster/111_famine_famine,GestunoDisaster,111_famine_famine
53,c054,GestunoDisaster/112_flood_inondation,GestunoDisaster,112_flood_inondation
54,c055,GestunoDisaster/113_tornado_tornade,GestunoDisaster,113_tornado_tornade
55,c056,GestunoDisaster/114_hurricane_ouragan,GestunoDisaster,114_hurricane_ouragan
56,c057,GestunoLandscape/63_moon_lune,GestunoLandscape,63_moon_lune
57,c058,GestunoLandscape/64_sky_ciel,GestunoLandscape,64_sky_ciel
58,c059,GestunoLandscape/66_star_etoile,GestunoLandscape,66_star_etoile
59,c060,GestunoLandscape/67_sun_soleil,GestunoLandscape,67_sun_soleil
60,c061,GestunoLandscape/81_hill_colline,GestunoLandscape,81_hill_colline
61,c062,GestunoLandscape/82_mountain_montagne,GestunoLandscape,82_mountain_montagne
62,c063,GestunoLandscape/83_valley_vall,GestunoLandscape,83_valley_vall
63,c064,GestunoLandscape/84_summit_sommet,GestunoLandscape,84_summit_sommet
64,c065,GestunoLandscape/85_volcano_volcan,GestunoLandscape,85_volcano_volcan
65,c066,GestunoLandscape/88_desert_desert,GestunoLandscape,88_desert_desert
66,c067,GestunoLandscape/89_lake_lac,GestunoLandscape,89_lake_lac
67,c068,GestunoLandscape/90_river_fleuve,GestunoLandscape,90_river_fleuve
68,c069,GestunoLandscape/91_sea_mer,GestunoLandscape,91_sea_mer
69,c070,GestunoSmallAnimals/125_bird_oiseau,GestunoSmallAnimals,125_bird_oiseau
70,c071,GestunoSmallAnimals/127_butterfly_papillon,GestunoSmallAnimals,127_butterfly_papillon
71,c072,GestunoSmallAnimals/129_cat_chat,GestunoSmallAnimals,129_cat_chat
72,c073,GestunoSmallAnimals/131_crab_crabe,GestunoSmallAnimals,131_crab_crabe
73,c074,GestunoSmallAnimals/132_dog_chien,GestunoSmallAnimals,132_dog_chien
