,sLabel,sNameLong,sCat,sDetail
0,001,Mudra1/Ardhachandra,Mudra1,Ardhachandra
1,002,Mudra1/Ardhapataka,Mudra1,Ardhapataka
2,003,Mudra1/Chandrakala,Mudra1,Chandrakala
3,004,Mudra1/Chatura,Mudra1,Chatura
4,005,Mudra1/Kartarimukha,Mudra1,Kartarimukha
5,006,Mudra1/Pataka,Mudra1,Pataka
6,007,Mudra1/Sarpashirsha,Mudra1,Sarpashirsha
7,008,Mudra1/Shikhara,Mudra1,Shikhara
8,009,Mudra1/Tripataka,Mudra1,Tripataka
9,010,Mudra1/Trishula,Mudra1,Trishula
10,011,Mudra2/Anjali,Mudra2,Anjali
11,012,Mudra2/Chakram,Mudra2,Chakram
12,013,Mudra2/Hamsapaksha,Mudra2,Hamsapaksha
13,014,Mudra2/Mayura,Mudra2,Mayura
14,015,Mudra2/Mrigashirsha,Mudra2,Mrigashirsha
15,016,Mudra2/Sandamsha,Mudra2,Sandamsha
16,017,Mudra2/Swastikam,Mudra2,Swastikam
17,018,Mudra2/Tamrachuda,Mudra2,Tamrachuda
18,019,Mudra2/Vitarka,Mudra2,Vitarka
19,020,ItalianGestures/AndateVia,ItalianGestures,AndateVia
20,022,ItalianGestures/CheFurbo,ItalianGestures,CheFurbo
21,021,ItalianGestures/Bellissima,ItalianGestures,Bellissima
22,023,ItalianGestures/ChePalle,ItalianGestures,ChePalle
23,024,ItalianGestures/CheVuoi,ItalianGestures,CheVuoi
24,025,ItalianGestures/DAccordo,ItalianGestures,DAccordo
25,026,ItalianGestures/Madonna,ItalianGestures,Madonna
26,027,ItalianGestures/NonMiFrega,ItalianGestures,NonMiFrega
27,028,ItalianGestures/Perfetto,ItalianGestures,Perfetto
28,029,ItalianGestures/SeiPazzo,ItalianGestures,SeiPazzo
29,030,ItalianGestures/VieniQua,ItalianGestures,VieniQua
30,031,ChineseNumbers/ba,ChineseNumbers,ba
31,032,ChineseNumbers/ling,ChineseNumbers,ling
32,034,ChineseNumbers/qi,ChineseNumbers,qi
33,035,ChineseNumbers/shi,ChineseNumbers,shi
34,033,ChineseNumbers/liu,ChineseNumbers,liu
35,036,ChineseNumbers/si,ChineseNumbers,si
36,037,ChineseNumbers/wu,ChineseNumbers,wu
37,038,ChineseNumbers/yi,ChineseNumbers,yi
38,039,GestunoColors/654_colour_couleur,GestunoColors,654_colour_couleur
39,040,GestunoColors/655_black_noir,GestunoColors,655_black_noir
40,041,GestunoColors/656_white_blanc,GestunoColors,656_white_blanc
41,042,GestunoColors/657_red_rouge,GestunoColors,657_red_rouge
42,043,GestunoColors/658_yellow_jaune,GestunoColors,658_yellow_jaune
43,044,GestunoColors/659_orange_orange,GestunoColors,659_orange_orange
44,045,GestunoColors/660_bleu_blue,GestunoColors,660_bleu_blue
45,046,GestunoColors/661_green_vert,GestunoColors,661_green_vert
46,047,GestunoColors/662_purple_violet,GestunoColors,662_purple_violet
47,048,GestunoColors/663_brown_brun,GestunoColors,663_brown_brun
48,049,GestunoDisaster/102_thunderstorm_orage,GestunoDisaster,102_thunderstorm_orage
49,050,GestunoDisaster/108_tide_maree,GestunoDisaster,108_tide_maree
50,051,GestunoDisaster/109_dought_secheresse,GestunoDisaster,109_dought_secheresse
51,052,GestunoDisaster/110_earthquake_trembleme,GestunoDisaster,110_earthquake_trembleme
